asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2023-04-15,0.2275538693711656
0,ALGO,2023-04-16,0.2327009522981037
0,ALGO,2023-04-17,0.2345502184232926
0,ALGO,2023-04-18,0.2210608899326911
0,ALGO,2023-04-19,0.2224983352109341
0,ALGO,2023-04-20,0.1991786788764355
0,ALGO,2023-04-21,0.1911927262126022
0,ALGO,2023-04-22,0.185703593675409
0,ALGO,2023-04-23,0.1915442407923681
0,ALGO,2023-04-24,0.1890060233307853
0,ALGO,2023-04-25,0.1857586957993555
0,ALGO,2023-04-26,0.1885686850805549
0,ALGO,2023-04-27,0.1808968844568085
0,ALGO,2023-04-28,0.1844258991068913
0,ALGO,2023-04-29,0.1843509161051876
0,ALGO,2023-04-30,0.1839911496407508
0,ALGO,2023-05-01,0.1818288125096241
0,ALGO,2023-05-02,0.1777732370708759
0,ALGO,2023-05-03,0.1794247360813867
0,ALGO,2023-05-04,0.1815726144520099
0,ALGO,2023-05-05,0.1778405508476641
0,ALGO,2023-05-06,0.1825092273670585
0,ALGO,2023-05-07,0.1759798556393813
0,ALGO,2023-05-08,0.1752713416071381
0,ALGO,2023-05-09,0.1647217845799359
0,ALGO,2023-05-10,0.165912386884464
0,ALGO,2023-05-11,0.1695109873776044
0,ALGO,2023-05-12,0.1636166138765272
0,ALGO,2023-05-13,0.1653059774303821
0,ALGO,2023-05-14,0.1633756770612684
0,ALGO,2023-05-15,0.1637872970822877
0,ALGO,2023-05-16,0.1677696346304956
0,ALGO,2023-05-17,0.1701501169907219
0,ALGO,2023-05-18,0.1728152059794868
0,ALGO,2023-05-19,0.1661325813366085
0,ALGO,2023-05-20,0.165918818571831
0,ALGO,2023-05-21,0.1655330643517631
0,ALGO,2023-05-22,0.1629098497539058
0,ALGO,2023-05-23,0.1626237718625336
0,ALGO,2023-05-24,0.1633360303511737
0,ALGO,2023-05-25,0.1550542644688284
0,ALGO,2023-05-26,0.1508654925426446
0,ALGO,2023-05-27,0.1507532032317364
0,ALGO,2023-05-28,0.1513767153510775
0,ALGO,2023-05-29,0.1538789653608207
